room#	#tunnels	tunnel directins(up to three)	To rooms(up to three/coresponds with directions)	(null if there is none)
1	1	3	null	null	7	null	null
2	2	0	2	null	26	9	null
3	1	2	null	null	4	null	null
4	3	1	4	5	5	9	3
5	1	4	null	null	4	null	null
6	2	2	4	null	7	11	null
7	3	0	2	5	1	8	6
8	3	2	4	5	15	13	7
9	3	1	2	5	4	10	2
10	3	1	4	5	11	15	9
11	3	1	2	4	6	12	10
12	2	3	5	null	18	11	null
13	2	1	3	null	8	19	null
14	1	2	null	null	21	null	null
15	3	1	2	5	10	16	8
16	3	1	4	5	17	21	15
17	1	4	null	null	16	null	null
18	2	0	4	null	12	23	null
19	2	0	2	null	13	20	null
20	3	2	3	5	27	26	19
21	3	1	2	5	16	22	14
22	3	1	4	5	23	27	21
23	3	1	2	4	18	24	22
24	2	3	5	null	30	23	null
25	1	2	null	null	26	null
26	3	0	3	5	20	2	25	
27	3	1	2	5	22	28	20
28	2	1	5	null	29	27	null
29	2	2	4	null	30	28	null
30	2	0	5	null	24	29	null
