room#	#tunnels	tunnel directins(up to three)	To rooms(up to three/coresponds with directions)	(null if there is none)
1	2	0	2	null	25	2	null	
2	3	2	4	5	9	7	1
3	2	2	3	null	4	9	null
4	3	1	2	5	5	11	3
5	2	2	4	null	6	4	null
6	3	0	3	5	30	12	5	
7	3	1	2	3	2	8	13
8	3	1	2	5	9	15	7
9	3	0	4	5	3	8	2
10	2	1	4	null	11	15	null
11	3	3	4	5	17	10	4
12	3	0	2	3	6	13	18
13	3	0	3	5	7	19	12
14	2	1	3	null	15	20	null
15	3	1	4	5	10	14	8
16	3	1	2	4	17	23	21
17	2	0	4	null	11	16	null
18	2	0	3	null	12	24	null
19	2	0	3	null	13	25	null
20	3	0	1	2	14	21	27
21	2	1	4	null	16	20	null
22	3	1	2	3	23	29	28
23	3	2	4	5	24	22	16
24	3	0	4	5	18	29	23
25	3	0	2	3	19	26	1
26	2	1	5	null	27	25	null
27	3	2	4	5	28	26	20
28	2	0	5	null	22	27	null
29	3	1	2	5	24	30	22
30	2	3	5	null	6	29	null
